valence,arousal,dominance,chapter,chapter_title
0.2266327597362113,-0.1502902106451609,0.009991598335228974,1,1. An Unexpected Party
0.04738105969660591,-0.156436914311179,-0.12825095128960676,2,2. Roast Mutton
0.22443762875465179,-0.18976288792530568,0.01872672626167692,3,3. A Short Rest
0.10725766723356008,-0.007046712018140587,-0.013523285147392294,4,4. Over Hill and Under Hill
0.02993511904761905,-0.08679073498964802,-0.06470416666666667,5,5. Riddles in the Dark
0.020104250295159394,-0.0018798221980040138,-0.12049372155622157,6,6. Out of the Frying-Pan into the Fire
0.16653264760975547,-0.10265792247426801,-0.012387090845930577,7,7. Queer Lodgings
0.09821794149533875,-0.09622797704578526,-0.03352916763601695,8,8. Flies and Spiders
0.04919500618429191,-0.07528683432969147,-0.007788110698824992,9,9. Barrels Out of Bond
0.22681400800054646,-0.03621719135565289,0.0857226711322865,10,10. A Warm Welcome
0.18208388888888888,-0.23634527777777778,-0.026789722222222218,11,11. On the Doorstep
0.1596028473975646,-0.009597762712439619,0.03379971030300377,12,12. Inside Information
0.18051539224664223,-0.12960582264957263,-0.0038075244200244246,13,13. Not at Home
0.06770969684975439,-0.028668037287378715,0.06690098901879593,14,14. Fire and Water
0.08191726537611758,-0.08474057023871352,0.007517106807504408,15,15. The Gathering of the Clouds
0.16221397622940448,-0.10905037483595793,0.0343716546248538,16,16. A Thief in the Night
0.08087800889586604,-0.03141710709924995,0.10805718210361068,17,17. The Clouds Burst
0.13332757312622018,-0.07033073317205671,0.06760322638146168,18,18. The Return Journey
0.29351172839506173,-0.14455864197530865,0.062010493827160514,19,19. The Last Stage
